,timestamp,TMC
0,2015-12-09 21:02:00,120P07446
1,2015-07-28 23:24:00,120-04731
2,2015-04-12 11:23:00,120P04739
3,2015-07-21 17:29:00,120+04737
4,2015-09-03 17:40:00,120-04731
5,2015-09-23 18:08:00,120+07449
6,2015-09-27 09:28:00,120+04731
7,2015-07-17 03:20:00,120+07443
8,2015-01-31 20:26:00,120+04732
9,2015-06-30 15:18:00,120+07442
10,2015-08-01 19:52:00,120N13767
11,2015-11-05 19:18:00,120N04729
12,2015-10-03 23:36:00,120-04729
13,2015-03-26 00:26:00,120+07442
14,2015-03-10 15:05:00,120+07443
15,2015-01-03 16:04:00,120+07449
16,2015-08-10 22:36:00,120+07444
17,2015-10-20 16:24:00,120P04738
18,2015-04-02 02:00:00,120P04738
19,2015-10-16 05:07:00,120N04729
20,2015-01-04 19:50:00,120+04739
21,2015-09-14 07:35:00,120-04736
22,2015-06-09 03:29:00,120+04739
23,2015-08-13 11:21:00,120+04732
24,2015-06-19 01:31:00,120-07444
25,2015-11-04 16:14:00,120P04739
26,2015-10-16 07:57:00,120-07443
27,2015-01-27 22:26:00,120+04737
28,2015-10-27 13:28:00,120-04736
29,2015-03-16 10:57:00,120+04739
30,2015-09-13 15:41:00,120N04735
31,2015-11-15 12:42:00,120+04737
32,2015-07-09 19:32:00,120-04733
33,2015-04-01 07:46:00,120+04731
34,2015-08-25 06:37:00,120+04739
35,2015-05-10 17:49:00,120-04731
36,2015-09-13 16:41:00,120N04738
37,2015-04-25 03:12:00,120-04734
38,2015-02-17 21:55:00,120+04731
39,2015-09-05 20:39:00,120P04738
40,2015-06-22 18:00:00,120-04740
41,2015-12-31 09:13:00,120-07443
42,2015-07-14 05:30:00,120N04729
43,2015-11-23 07:56:00,120+07449
44,2015-08-24 19:28:00,120+04738
45,2015-03-07 17:04:00,120+07442
46,2015-01-10 10:48:00,120P04737
47,2015-01-03 13:41:00,120+07449
48,2015-06-06 16:20:00,120+07449
49,2015-11-04 14:22:00,120P04737
50,2015-12-17 00:13:00,120+07444
51,2015-03-05 01:48:00,120N04729
52,2015-03-30 15:12:00,120N04729
53,2015-08-16 10:40:00,120P04738
54,2015-05-18 01:44:00,120+04737
55,2015-12-26 22:02:00,120-07448
56,2015-05-10 13:33:00,120-04732
57,2015-09-08 03:50:00,120+07442
58,2015-12-21 09:48:00,120P04738
59,2015-09-17 22:07:00,120+04739
60,2015-06-05 11:11:00,120+04738
61,2015-07-02 05:51:00,120N04738
62,2015-09-23 10:06:00,120P04738
63,2015-12-15 12:54:00,120+07442
64,2015-12-11 03:44:00,120-04732
65,2015-01-07 22:29:00,120-04729
66,2015-10-31 01:13:00,120+04737
67,2015-08-07 19:01:00,120+04735
68,2015-02-07 01:16:00,120N13767
69,2015-06-14 06:53:00,120P07446
70,2015-03-18 14:09:00,120N13767
71,2015-02-28 03:30:00,120N04737
72,2015-09-05 19:54:00,120P04739
73,2015-08-06 17:32:00,120+04738
74,2015-12-21 20:27:00,120P04729
75,2015-03-07 07:17:00,120+04732
76,2015-10-09 10:31:00,120-04740
77,2015-11-27 19:02:00,120+07445
78,2015-10-29 16:15:00,120+04733
79,2015-03-09 23:13:00,120+04733
80,2015-03-08 01:18:00,120P04735
81,2015-11-14 16:48:00,120+04737
82,2015-05-16 15:01:00,120N04734
83,2015-05-03 01:27:00,120-04736
84,2015-04-04 09:20:00,120-04737
85,2015-05-01 16:55:00,120N04737
86,2015-01-18 04:09:00,120+07442
87,2015-11-04 12:59:00,120N04733
88,2015-09-19 21:32:00,120-07442
89,2015-12-22 03:05:00,120+04734
90,2015-05-21 18:17:00,120P13767
91,2015-08-16 02:33:00,120+04737
92,2015-12-03 02:28:00,120+07449
93,2015-07-14 20:49:00,120N04738
94,2015-11-22 08:50:00,120P04737
95,2015-04-25 08:59:00,120P04739
96,2015-06-03 07:59:00,120-04733
97,2015-03-30 17:21:00,120P07446
98,2015-03-31 23:29:00,120+07447
99,2015-11-06 03:07:00,120+04740
100,2015-08-03 00:27:00,120+07444
101,2015-06-19 18:55:00,120+04733
102,2015-11-08 12:11:00,120+07449
103,2015-01-18 10:19:00,120+04733
