,timestamp,TMC
0,2014-12-28 09:49:00,120+07444
1,2014-10-03 22:34:00,120N07447
2,2014-09-22 08:52:00,120+07449
3,2014-03-03 13:11:00,120-04740
4,2014-11-13 12:17:00,120+07442
5,2014-11-07 14:50:00,120-04736
6,2014-06-07 04:46:00,120P04738
7,2014-04-27 11:41:00,120-04738
8,2014-02-21 15:10:00,120+07445
9,2014-01-19 20:35:00,120+04735
10,2014-08-30 01:38:00,120P04738
11,2014-03-25 04:09:00,120-04740
12,2014-06-11 09:39:00,120+04737
13,2014-07-05 09:05:00,120P04739
14,2014-06-10 10:21:00,120+04737
15,2014-03-13 12:50:00,120+07442
16,2014-05-15 18:48:00,120-04740
17,2014-11-01 21:45:00,120-07447
18,2014-11-08 06:00:00,120-07443
19,2014-07-24 14:28:00,120+04731
20,2014-03-09 20:39:00,120+04738
21,2014-07-15 20:22:00,120P04737
22,2014-12-27 02:35:00,120-04738
23,2014-02-09 03:30:00,120P04738
24,2014-09-09 11:30:00,120P04738
25,2014-07-09 01:58:00,120P04736
26,2014-09-08 15:47:00,120+07444
27,2014-08-30 16:33:00,120+04734
28,2014-10-17 17:01:00,120+07445
29,2014-07-06 12:56:00,120+04737
30,2014-10-16 00:48:00,120P04735
31,2014-05-01 05:18:00,120-07444
32,2014-03-07 00:38:00,120N04737
33,2014-01-17 01:04:00,120-07443
34,2014-05-06 22:53:00,120-07443
35,2014-08-30 18:55:00,120+04735
36,2014-06-13 16:22:00,120-04733
37,2014-02-07 18:39:00,120-04736
38,2014-12-09 20:06:00,120+04737
39,2014-04-27 00:11:00,120-04740
40,2014-05-11 07:12:00,120-13767
41,2014-11-05 12:08:00,120-04740
42,2014-03-22 16:10:00,120+07442
43,2014-08-20 05:38:00,120+04739
44,2014-06-23 11:35:00,120+04739
45,2014-09-01 23:47:00,120-04736
46,2014-10-17 16:52:00,120-07443
47,2014-05-25 01:14:00,120-04736
48,2014-06-05 02:27:00,120N04737
49,2014-03-09 06:41:00,120+04738
50,2014-01-10 20:16:00,120P04737
51,2014-09-26 05:35:00,120P04738
52,2014-11-24 20:02:00,120+07443
53,2014-10-07 16:47:00,120N04734
54,2014-03-23 13:32:00,120+07449
55,2014-10-12 11:04:00,120P07447
56,2014-02-17 13:57:00,120N04729
57,2014-06-27 06:04:00,120+04739
58,2014-04-22 21:35:00,120+07444
59,2014-03-01 20:06:00,120P04738
60,2014-06-22 03:00:00,120P04737
61,2014-08-15 15:24:00,120P04734
62,2014-06-02 23:21:00,120+07443
63,2014-12-09 06:21:00,120+07443
64,2014-06-23 22:11:00,120+07444
65,2014-09-20 19:12:00,120N04729
66,2014-03-12 09:30:00,120N04737
67,2014-08-09 23:47:00,120N07448
68,2014-04-20 07:40:00,120-04732
69,2014-04-11 20:14:00,120-04740
70,2014-03-24 03:15:00,120N07447
71,2014-03-15 02:38:00,120+04737
72,2014-10-24 05:31:00,120-04740
73,2014-07-25 13:41:00,120+04734
74,2014-08-16 13:33:00,120+04737
75,2014-12-24 16:33:00,120-04736
