,timestamp,TMC
0,2017-09-13 13:07:00,120-04740
1,2017-01-21 23:56:00,120P07446
2,2017-11-04 02:17:00,120P04738
3,2017-08-06 16:37:00,120+07442
4,2017-09-12 06:15:00,120P04737
5,2017-01-04 05:26:00,120-07442
6,2017-08-05 06:27:00,120+04739
7,2017-09-14 22:30:00,120+07443
8,2017-06-14 01:50:00,120+07449
9,2017-12-12 04:07:00,120P04738
10,2017-06-16 10:26:00,120+04739
11,2017-07-12 04:05:00,120P04739
12,2017-12-21 22:12:00,120P04733
13,2017-11-08 05:26:00,120N07448
14,2017-01-18 16:59:00,120-07443
15,2017-07-20 11:14:00,120+07442
16,2017-04-19 06:10:00,120P04738
17,2017-03-09 07:33:00,120+07445
18,2017-02-09 00:53:00,120P04736
19,2017-08-17 11:55:00,120+07444
20,2017-11-19 07:30:00,120+04739
21,2017-03-01 19:31:00,120-04733
22,2017-01-27 23:05:00,120N13767
23,2017-09-23 15:53:00,120+07444
24,2017-12-05 04:01:00,120+07442
25,2017-12-19 09:30:00,120+04738
26,2017-01-26 08:31:00,120+04739
27,2017-08-24 09:33:00,120P07446
28,2017-11-26 20:14:00,120N13767
29,2017-07-20 00:53:00,120+07444
30,2017-03-25 08:56:00,120+07449
31,2017-03-08 07:38:00,120P04738
32,2017-11-16 04:46:00,120-07448
33,2017-07-12 15:20:00,120N04737
34,2017-04-11 09:26:00,120+07442
35,2017-04-06 20:36:00,120+04737
36,2017-09-27 00:06:00,120+04739
37,2017-05-27 07:33:00,120N04729
38,2017-09-03 23:06:00,120-04731
39,2017-10-08 14:41:00,120+07449
40,2017-05-13 03:39:00,120+07449
41,2017-09-16 15:46:00,120P04737
42,2017-10-11 06:36:00,120+04739
43,2017-11-25 09:42:00,120P07448
44,2017-02-01 13:54:00,120P04737
45,2017-09-06 13:10:00,120-07444
46,2017-02-01 23:17:00,120+07449
47,2017-03-09 19:21:00,120P07446
48,2017-04-30 23:59:00,120-07444
49,2017-05-29 00:30:00,120+04739
50,2017-10-29 06:49:00,120+04738
51,2017-05-03 17:29:00,120+07442
52,2017-04-30 23:34:00,120+07442
53,2017-03-30 01:40:00,120-04731
54,2017-07-26 19:07:00,120+07442
55,2017-09-19 07:05:00,120+07449
56,2017-08-18 00:16:00,120N04739
57,2017-12-21 20:02:00,120-07443
58,2017-02-22 20:53:00,120+04738
59,2017-02-15 20:37:00,120P04739
60,2017-07-10 07:56:00,120-04732
61,2017-09-13 04:26:00,120N07448
62,2017-03-15 16:17:00,120N04729
63,2017-11-19 11:29:00,120+07443
64,2017-11-20 19:33:00,120+04739
65,2017-09-01 02:51:00,120+07442
66,2017-03-16 04:36:00,120+07445
67,2017-02-06 16:54:00,120-04732
68,2017-07-18 11:16:00,120+07442
69,2017-08-07 07:41:00,120+07444
70,2017-07-14 04:00:00,120+04739
71,2017-10-22 00:43:00,120-04730
72,2017-01-07 15:56:00,120+04737
73,2017-01-19 01:59:00,120+04737
74,2017-08-29 19:58:00,120+07445
75,2017-10-25 00:50:00,120-04733
76,2017-11-14 00:06:00,120P04739
77,2017-12-19 06:57:00,120-07442
78,2017-08-16 20:00:00,120-07443
79,2017-04-03 12:33:00,120N04729
80,2017-06-06 08:48:00,120-13767
