,timestamp,TMC
0,2018-03-23 15:51:00,120-07447
1,2018-07-27 02:55:00,120+07442
2,2018-11-24 23:06:00,120-04736
3,2018-08-06 02:49:00,120+07442
4,2018-03-05 23:34:00,120+04735
5,2018-08-07 22:07:00,120+07444
6,2018-12-22 12:34:00,120-04736
7,2018-09-12 01:18:00,120P07448
8,2018-09-24 17:44:00,120N07448
9,2018-02-08 07:41:00,120P13767
10,2018-10-12 17:37:00,120-07443
11,2018-11-10 07:39:00,120N07448
12,2018-08-20 17:51:00,120-04736
13,2018-02-07 12:19:00,120P04738
14,2018-04-13 10:22:00,120+07442
15,2018-06-05 20:23:00,120N04729
16,2018-04-05 12:11:00,120+07442
17,2018-07-04 04:41:00,120+04737
18,2018-05-26 03:30:00,120-04732
19,2018-06-27 23:20:00,120P04729
20,2018-01-19 09:00:00,120P07444
21,2018-11-24 01:15:00,120-04729
22,2018-06-04 05:49:00,120+07445
23,2018-03-09 18:48:00,120-04729
24,2018-02-15 02:44:00,120-04734
25,2018-07-14 13:47:00,120P13767
26,2018-08-01 10:19:00,120+07444
27,2018-09-13 14:32:00,120+07442
28,2018-11-05 05:25:00,120P04737
29,2018-05-26 07:51:00,120+07443
30,2018-02-04 01:22:00,120P04737
31,2018-09-04 00:46:00,120-04731
32,2018-01-13 16:26:00,120N04737
33,2018-03-03 05:04:00,120+07443
34,2018-07-28 17:52:00,120N07448
35,2018-12-27 09:22:00,120N13767
36,2018-07-15 04:15:00,120N07448
37,2018-09-19 05:35:00,120+07442
38,2018-12-09 08:02:00,120-07443
39,2018-07-10 01:40:00,120P04738
40,2018-05-05 18:56:00,120+07443
41,2018-02-08 11:56:00,120+07442
42,2018-11-17 05:52:00,120-04733
43,2018-04-30 02:50:00,120N04736
44,2018-06-23 22:38:00,120N04737
45,2018-05-08 11:25:00,120+04734
46,2018-09-28 15:34:00,120-04732
47,2018-09-30 22:07:00,120N04738
48,2018-03-24 14:27:00,120-04738
49,2018-03-24 08:05:00,120-04738
50,2018-07-01 03:16:00,120-07443
51,2018-09-03 13:24:00,120N04729
52,2018-08-20 14:43:00,120+07442
53,2018-09-02 16:31:00,120N07448
54,2018-05-13 17:41:00,120N04736
55,2018-09-26 16:30:00,120-04736
56,2018-01-31 05:56:00,120-07443
57,2018-02-27 02:39:00,120+07443
58,2018-10-15 03:57:00,120-04729
59,2018-03-24 05:51:00,120+07445
60,2018-01-12 22:23:00,120+04737
61,2018-09-25 01:46:00,120+07442
62,2018-11-11 12:10:00,120-07442
63,2018-03-19 03:05:00,120-07443
64,2018-02-27 06:49:00,120N13767
65,2018-09-24 22:22:00,120-04740
66,2018-02-04 14:03:00,120P07444
67,2018-01-07 10:07:00,120P04739
68,2018-09-10 01:37:00,120+07448
69,2018-11-09 13:32:00,120-04740
70,2018-05-07 20:57:00,120N04740
71,2018-02-24 20:45:00,120N04735
72,2018-09-22 13:50:00,120-07443
73,2018-03-03 02:07:00,120P13767
74,2018-03-23 08:40:00,120P04738
75,2018-06-18 02:59:00,120N04740
76,2018-08-01 20:52:00,120P04736
77,2018-12-15 06:28:00,120+07444
78,2018-10-01 15:59:00,120+04737
79,2018-05-20 02:45:00,120-04736
80,2018-12-30 12:14:00,120N07448
81,2018-09-30 15:25:00,120+07443
82,2018-08-06 03:15:00,120-07443
83,2018-10-02 03:23:00,120+07444
84,2018-05-19 16:32:00,120-04736
85,2018-05-11 00:47:00,120+07442
86,2018-07-04 09:03:00,120-07443
87,2018-08-02 21:41:00,120-04729
88,2018-09-15 10:06:00,120+04734
89,2018-05-06 17:51:00,120N04729
90,2018-08-31 03:16:00,120+07443
91,2018-05-16 00:07:00,120+07442
92,2018-04-07 03:45:00,120N07448
93,2018-12-26 06:51:00,120-04738
94,2018-12-27 09:52:00,120+04739
95,2018-11-05 06:58:00,120N07447
96,2018-04-10 02:23:00,120P04738
97,2018-05-22 07:58:00,120-07443
98,2018-01-27 03:33:00,120-07443
99,2018-09-25 06:36:00,120N04733
100,2018-09-22 15:36:00,120-04737
101,2018-11-17 19:10:00,120+07444
102,2018-08-02 05:19:00,120-04737
103,2018-06-28 21:11:00,120+04735
104,2018-05-17 22:06:00,120-04732
105,2018-05-17 00:18:00,120P04738
106,2018-03-17 14:25:00,120-04734
107,2018-09-25 21:42:00,120-07443
108,2018-09-14 07:04:00,120-07442
109,2018-11-12 16:43:00,120P04738
110,2018-09-13 15:46:00,120+07442
111,2018-10-24 16:37:00,120P07446
112,2018-06-26 23:50:00,120N04737
113,2018-12-22 19:57:00,120-04732
114,2018-03-21 12:44:00,120-04734
115,2018-07-17 00:09:00,120+07442
116,2018-11-30 07:09:00,120P13767
117,2018-01-09 23:07:00,120+04733
118,2018-10-08 07:08:00,120-04740
119,2018-08-23 19:59:00,120+07443
120,2018-08-18 16:26:00,120N04737
121,2018-08-08 00:38:00,120N07447
122,2018-12-18 15:52:00,120-04736
123,2018-02-04 08:35:00,120N13767
124,2018-06-19 07:46:00,120N04729
125,2018-10-15 22:48:00,120-04736
126,2018-07-27 11:32:00,120+04739
127,2018-03-07 00:50:00,120-04733
128,2018-12-15 22:21:00,120+07443
129,2018-07-15 16:50:00,120-04731
130,2018-03-26 21:55:00,120-07444
131,2018-04-26 15:41:00,120+04737
132,2018-09-05 09:25:00,120-07443
133,2018-04-03 22:15:00,120+07443
134,2018-02-01 16:21:00,120-04736
135,2018-10-09 02:14:00,120+04737
136,2018-09-14 00:15:00,120+04737
137,2018-04-20 14:12:00,120+04737
138,2018-02-01 00:14:00,120N07448
139,2018-06-01 22:23:00,120P04737
140,2018-12-02 10:39:00,120P04737
141,2018-08-25 13:24:00,120-04740
